token_id,category,mu_0,mu_1
473,content,1.0841142,-0.5405328
474,content,0.38686565,0.0052756034
475,content,0.2768262,-0.811811
476,content,0.8831003,-0.50289655
477,content,0.3881008,-0.044850178
478,content,0.39122155,0.029062577
479,content,0.31846315,-0.38871035
480,content,0.34040385,-0.44362617
481,content,0.30210054,-0.8980675
482,content,0.28682777,0.6163129
483,content,0.46623898,0.19920197
484,content,0.38827407,-0.014496237
485,content,-0.1723453,0.5529025
486,content,0.26071984,-0.02051268
487,content,0.31951457,0.50517696
488,content,0.39421412,-0.09813446
489,content,0.98622143,-0.67234844
490,content,0.4365936,-0.1583372
491,content,0.38961,-0.0150494985
492,content,0.0104198875,-0.005013423
493,content,0.2396962,-0.13248622
494,content,0.24704209,0.96160144
495,content,0.2277707,0.6136347
496,content,0.36393985,-0.22460374
497,content,0.38705766,-0.0019230399
498,content,0.0035631494,1.3469
499,content,0.34097692,-0.43647468
