token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23
64,letter,-0.03135256,0.5386271,0.07926073,0.118276566,0.2129876,0.010336726,-0.26683372,0.0068248115,0.01848206,0.15040128,0.06968048,0.083887726,0.1843117,-0.6500923,0.30603135,0.30008668,0.13250585,-0.26135337,-0.0030242354,0.2543183,0.23318022,0.0022224558,0.025681222,-0.07625631
65,letter,0.050708983,-0.1472777,0.41777185,0.17332329,-0.048214648,0.59515643,-0.5377148,-0.08179462,0.1713298,0.6037658,0.4298173,-0.06181084,-0.012127718,-0.18468082,0.6224232,0.25151876,-0.08131981,-0.34288698,0.11985542,-0.3187205,0.03267363,-0.07471382,0.23527108,0.10426389
66,letter,-0.27264115,0.44611508,0.11278489,0.118394755,0.17747477,0.0011040393,-0.62983614,0.05668151,0.6778471,0.52036923,-0.10897185,0.19503014,0.06888415,-0.7395447,0.97614324,0.54003847,-0.28199464,-0.15261914,0.26218694,-0.48716617,0.0810982,-0.09801039,0.4719089,0.19628547
67,letter,-0.12533249,0.27890593,0.13444395,0.3900725,0.020885369,0.4120322,-0.51917756,0.028760478,0.34338003,0.7642934,-0.035637595,-0.5079064,0.5050949,-0.070182234,0.7442063,0.31906867,0.2704131,-0.6710748,0.049699087,0.17130092,-0.40045327,0.09869346,0.24020086,-0.39452866
68,letter,0.1138273,0.59613144,0.29499695,-0.0024691084,-0.036649693,-0.022296194,-0.33462796,-0.010986118,0.36243966,0.69303906,0.121513665,-0.14020191,0.17212577,-0.79835546,0.2673884,0.5423877,0.024700137,-0.33222216,0.24694596,0.056643143,0.47302684,-0.41235,-0.038892314,0.022755032
69,letter,0.50899667,0.4422218,0.12928522,0.07344332,0.15481499,0.07134814,-0.03587875,-0.4618322,0.27374688,0.7656179,0.54764587,-0.117218845,0.2445811,0.29035324,0.66834915,-0.034142017,-0.3603652,-0.3854379,-0.07096435,-0.034108486,-0.41903612,-0.16874506,0.082885586,0.030458711
70,letter,0.16364135,0.29955453,0.17601503,0.105198935,-0.02292115,-0.07231078,-0.12633814,-0.045907803,0.1292169,0.46010655,-0.094903015,-0.21174237,0.091453604,-0.08392881,1.2955532,0.033138655,-0.21192117,0.019026218,0.013513583,-0.3685365,0.12839389,-0.10243089,0.57643086,0.037355635
71,letter,0.20695123,0.4780462,0.048898816,-0.039603945,-0.14141889,0.41680977,-0.04462735,0.32748622,0.2719137,0.049600348,0.11325225,-0.26053646,-0.5904563,-0.47412685,1.2910107,0.42074186,-0.10890725,0.15799694,0.26812977,-0.26542988,-0.1876805,0.11614716,-0.22244208,0.26186913
72,letter,0.12821284,0.35636804,0.12962992,0.22280873,0.023455193,-0.15573378,-0.42148015,0.018215235,0.12644856,0.40414104,-0.21170186,0.06265251,0.0454224,-0.46700913,0.4999757,0.5387027,0.22894485,-0.015165979,0.14561214,-0.21574207,0.31584045,-0.14147398,0.05348664,-0.31406036
73,letter,0.36378857,0.87337,-0.5695533,0.33868456,0.19138554,0.020258766,-0.043298967,0.54963493,0.13913979,0.46107203,-0.21825065,-0.28681204,-0.3895611,0.038829803,0.74579203,0.44178626,0.21038249,-0.9523428,-0.03048896,0.092527375,0.400109,0.019703928,0.2483567,-0.08324094
74,letter,0.14362516,0.5786948,0.35893658,0.14072202,-0.07627826,0.41538882,-0.41840866,0.32864204,0.011011211,0.1724635,-0.19907697,0.20210394,-0.1499176,-0.03444128,0.43420202,0.72943187,-0.047933348,-0.24857521,0.064128555,-0.1270958,-0.0013908867,0.09469891,-0.003684208,-0.08439361
75,letter,-0.007178566,0.72032654,0.25364432,0.2980315,0.046012077,0.49401978,-0.7591359,-0.20148142,0.033672623,0.5202929,-0.015958693,0.17645687,-0.3903511,-0.085454665,0.8445567,0.53776866,0.16268569,-0.4046611,-0.04080138,-0.3073844,0.04373943,-0.038761124,-0.11555055,0.23900998
76,letter,0.16724893,-0.08554181,0.043254774,0.0025784725,-0.2622481,0.5062048,-0.13922374,0.17945565,0.7387584,0.27971062,-0.09811492,-0.5378249,0.099938445,-0.12977207,0.58031106,0.53623027,-0.15340242,-0.120479465,-0.3865952,-0.14296176,0.3954744,0.12562685,0.16682231,0.0024751958
77,letter,-0.0049518035,0.23990014,0.130387,-0.27967405,0.16970654,0.32997772,-0.4848641,0.044114508,0.08084488,0.44637278,0.12591428,0.031920798,0.07128229,-0.32004607,0.57942814,0.7758719,-0.15529595,-0.09417727,-0.041667305,0.1505736,0.077014126,0.31514224,-0.13535306,0.019844564
78,letter,-0.0030754784,0.61278903,0.06979059,0.18016158,0.11443381,-0.057831388,-0.046249297,0.56348574,0.05332629,0.5360987,0.24371569,-0.14198996,0.47331533,-0.5356648,0.10747383,0.15150206,-0.10855684,-0.23745915,-0.15226057,-0.1211368,0.3690791,-0.28881666,0.1877475,-0.2824483
79,letter,0.056689005,0.29500398,0.3943012,-0.23907182,0.38414913,0.30645877,-0.42749375,0.028689472,0.027783144,0.42412478,-0.12143736,0.12306007,0.055875618,-0.09435124,0.5373637,0.66604674,-0.13449356,-0.47730368,-0.020942431,0.20809667,0.13976565,-0.047402125,-0.28718486,-0.12498441
80,letter,0.4369219,0.7904259,0.4619079,0.24243604,-0.26304156,-0.29995137,-0.12911399,0.25767985,0.30612755,0.7115147,-0.4246526,-0.46068245,0.26036617,-0.49913615,0.50419503,0.27763894,0.28523374,-0.14592913,-0.36992806,-0.1308361,0.02449553,0.36288786,-0.42180452,0.51755404
81,letter,-0.025228499,0.18519264,0.43520916,-0.08320336,-0.21697193,0.14633657,-0.35034448,-0.06759022,0.087511554,0.5430309,-0.039913654,0.14116687,-0.25949493,0.087273754,0.9482801,0.8606197,0.5201232,-0.10371381,-0.04971559,-0.12189623,-0.11031729,-0.45346254,0.14013219,0.34600326
