token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4
335,content,-0.49241707,-0.7305634,0.50265867,0.4739709,-0.7271958
336,content,-0.10210937,0.114612974,1.0388666,-0.6518993,-0.67418736
337,content,-0.37488255,0.23012339,0.6774857,-0.2634377,-0.7413548
338,content,-0.11856184,1.091374,-0.44386357,-0.24709971,-1.1246953
339,content,-0.57632226,-0.6084143,-0.45223108,-0.1827206,-0.054621488
340,content,-0.46673024,-0.5797315,-0.5897004,0.19904794,-0.0560793
341,content,-0.14214237,-0.47409922,-0.37311235,0.8970294,-0.47303632
342,content,-0.29320884,-0.7225537,0.46717232,0.3801949,-0.5747624
343,content,-0.13111427,-0.9567762,0.47587916,0.37081873,-0.53744036
344,content,-0.28122285,-1.0189509,0.11122542,0.4509056,-0.1260707
345,content,-0.21134825,-0.58403516,-0.66359526,-0.20724104,0.25100577
346,content,-0.1411026,-0.8903569,0.4588223,0.39419872,-0.47857857
347,content,-0.37996346,0.18364957,0.6664966,-0.18352653,-0.6566149
348,content,-0.18169388,-0.12342457,1.1950567,-0.89878094,-0.49520943
349,content,-0.24098302,-0.7976258,0.61386216,0.21913432,-0.49993116
350,content,-0.44918725,0.010926707,0.87463284,-0.453668,-0.6319366
351,content,0.34141627,0.37043455,-1.0374027,-0.28640383,-0.04526869
352,content,-0.5269932,0.29905084,0.15761904,0.12991767,-0.6498098
353,content,-0.32739055,-1.0390608,0.22548465,0.5494991,-0.32300276
354,content,-0.34034705,-0.8313083,0.5426119,0.29360422,-0.40275085
355,content,0.22313431,0.09817426,-1.0722691,-0.19363731,0.040026758
356,content,-0.4952628,-0.67027014,-0.41310242,-0.1721874,0.13613695
357,content,0.5584818,-0.050248597,-0.7387537,0.27155542,-0.11793825
358,content,0.16069089,-0.05667108,0.4394684,0.23578322,-0.71047646
359,content,-0.4676716,-0.89783406,0.4558692,0.40537316,-0.31823322
360,content,-0.251121,0.13313046,0.8031239,-0.3146214,-0.7325129
361,content,-0.36122653,-0.9216729,0.72272116,0.07188946,-0.3952339
362,content,-0.4802014,0.2623182,0.19601694,0.14266048,-0.6977856
363,content,-0.15019713,-0.76730776,0.8370853,-0.07909663,-0.40615365
364,content,-0.14033571,-0.8397464,-0.23272063,0.5965567,-0.33053526
365,content,-0.3838904,-0.9334724,0.040245384,0.17191602,0.102918714
366,content,0.13805498,-0.7006498,-0.40112072,0.37883165,-0.112115376
367,content,-0.32083914,0.16360138,0.8482592,-0.53011024,-0.6145307
